id,bucket_id,band_name,year
1,,The Beatles,1960
2,,The Rolling Stones,1962
3,,The Who,1964
4,,Led Zeppelin,1968
5,,Deep Purple,1968
6,,Black Sabbath,1968
7,,Judas Priest,1969
8,,AC/DC,1973
9,,Kiss,1973
10,,Rush,1968
11,,Queen,1970
12,,Iron Maiden,1975
13,,Def Leppard,1977
14,,Mötley Crüe,1981
15,,Metallica,1981
16,,Slayer,1981
17,,Megadeth,1983
18,,Anthrax,1981
19,,Guns N' Roses,1985
20,,Bon Jovi,1983
21,,Nirvana,1987
22,,Pearl Jam,1990
23,,Soundgarden,1984
24,,Alice in Chains,1987
25,,Red Hot Chili Peppers,1983
26,,Rage Against the Machine,1991
27,,Tool,1990
28,,Korn,1993
29,,Slipknot,1995
30,,System of a Down,1994
31,,Foo Fighters,1994
32,,Linkin Park,1996
33,,Avenged Sevenfold,1999
34,,Bring Me The Horizon,2004
