project_id,bucket_id,name,description
00002b63-5cc7-40a4-81b4-10104567938e,2495,Task Management 614,Development of a task management system 614
00008a15-a83d-43eb-94ae-6e431e60c74f,966,Task Management 54,Development of a task management system 54
0000bf19-7c87-4489-b98e-7c732ecd95bd,2946,Task Management 534,Development of a task management system 534
0000c07f-8503-4f2f-9a6a-c90d9cc4facd,9556,Task Management 873,Development of a task management system 873
0000d2d2-1793-4a4e-8eae-1623b024d1df,4723,Task Management 937,Development of a task management system 937
00014044-8ecf-4828-aec2-669a81c67207,2567,Task Management 434,Development of a task management system 434
000146e2-c6ae-4fad-a67f-1759879f6d3b,4835,Task Management 266,Development of a task management system 266
000170af-dc04-46ca-946d-c412e8ed804e,2724,Task Management 527,Development of a task management system 527
00017f1d-68d1-488d-bc5c-eebd871bc1e3,4293,Task Management 175,Development of a task management system 175
0001b0c2-750b-450e-b40c-bad21ff72dee,2405,Task Management 186,Development of a task management system 186
0001c4d2-4180-4e25-9748-da88851d71ea,570,Task Management 866,Development of a task management system 866
0001ca94-5f76-42f8-839d-bfbd0ced242d,11950,Task Management 550,Development of a task management system 550
0001e8e9-0c1c-4746-989c-748f026b7a61,8288,Task Management 49,Development of a task management system 49
0001ee72-c95c-4dd0-ac52-18875e7516bf,13185,Task Management 907,Development of a task management system 907
0002596e-a928-48c0-88d9-e5cc5948bd8a,3798,Task Management 734,Development of a task management system 734
00026fd7-598e-450e-9246-4543c07a1679,895,Task Management 515,Development of a task management system 515
0002866e-905d-4f6f-ace9-9d93b07bc643,5522,Task Management 484,Development of a task management system 484
00028ede-6b7b-4403-90ea-16752d1288a2,104,Task Management 833,Development of a task management system 833
0002977e-6699-4fa5-a254-c8ca324ed57c,8566,Task Management 206,Development of a task management system 206
0002fabd-9f8a-4685-a845-06fb2c2a7e82,5520,Task Management 71,Development of a task management system 71
00035401-4b0e-41b1-9eb2-79a87471a7b3,6472,Task Management 908,Development of a task management system 908
00035af1-9033-4f0d-9814-a17d1be297fd,4055,Task Management 24,Development of a task management system 24
000369ca-ebe6-4d39-9b71-de13df37e886,8073,Task Management 551,Development of a task management system 551
00036c82-2918-41c9-bd1c-fd235d0fbfbe,7485,Task Management 905,Development of a task management system 905
0003e240-3233-47ba-bbe7-056a8e177a45,10735,Task Management 604,Development of a task management system 604
00041f74-1ef6-46fd-a6a1-aafee5af0042,10722,Task Management 82,Development of a task management system 82
0004419f-9a83-48c4-81b6-d8dad7194560,4103,Task Management 722,Development of a task management system 722
00050352-18b3-43fa-8997-513d2d0f5c1c,14878,Task Management 511,Development of a task management system 511
000542d4-bce6-4f51-b0fc-eec7f31fa106,6676,Task Management 65,Development of a task management system 65
00054c78-e544-4f36-bcdf-5e3c4c46c85b,10573,Task Management 250,Development of a task management system 250
00056809-9e1b-4eb2-8497-6806929e3d4c,14090,Task Management 699,Development of a task management system 699
000585dd-b0a6-4a8f-90a3-3a6510b27904,340,Task Management 151,Development of a task management system 151
00059c8c-e9dc-4e78-8ebf-be9957e6f7a2,4028,Task Management 211,Development of a task management system 211
0005cf41-c721-423c-843f-cd8b041aa806,14846,Task Management 335,Development of a task management system 335
000609ae-3599-4748-9342-9d37e510c52f,11836,Task Management 872,Development of a task management system 872
00064e88-14b5-4600-835c-544940418a1b,977,Task Management 574,Development of a task management system 574
00066abc-9f22-4bf8-ba2d-2a42cbfc348e,6905,Task Management 335,Development of a task management system 335
000692c2-3f20-4454-bc6b-acd6166147d6,12239,Task Management 57,Development of a task management system 57
00069d3e-75ff-4b20-be3a-fdf205d2b8c8,12479,Task Management 984,Development of a task management system 984
0006b2a7-4f2d-4119-9da0-a5db2a15312f,8102,Task Management 676,Development of a task management system 676
0006e4bb-c57c-4a38-a7a2-4f501e5e3274,11335,Task Management 75,Development of a task management system 75
0007314d-f20b-4c7e-9e0a-955307198862,1260,Task Management 846,Development of a task management system 846
000787a5-d048-48d0-98fe-8def29e37729,8043,Task Management 401,Development of a task management system 401
00078df8-f95f-45fc-9a9b-07a505ccad89,8192,Task Management 255,Development of a task management system 255
000797d9-0f72-40ff-85b7-d2ae9e70bfbf,8650,Task Management 155,Development of a task management system 155
0007f1e2-52a1-4a06-841f-e89626e6be86,3996,Task Management 832,Development of a task management system 832
0007f5c6-d42a-436e-8f7c-55a8db3aa03f,13942,Task Management 83,Development of a task management system 83
0008068d-3352-4ed0-9e94-93bfa4283a85,4211,Task Management 639,Development of a task management system 639
00080a73-6d95-48b0-a41c-5aebed25f0ae,9369,Task Management 47,Development of a task management system 47
00080aa7-0043-4dc9-a6d8-874a3a45bb20,14149,Task Management 844,Development of a task management system 844
00081999-9e90-4c17-a0f2-4995d4fe75c8,3304,Task Management 489,Development of a task management system 489
000831cf-cb43-47eb-b121-893ac0b0d11e,11781,Task Management 838,Development of a task management system 838
00084386-27cf-426e-8c42-51a7d19a22b7,11613,Task Management 358,Development of a task management system 358
00088234-55de-4c6e-b466-b02ff354a475,7814,Task Management 602,Development of a task management system 602
00091707-03d1-445a-a0d2-f5e31483165e,11572,Task Management 308,Development of a task management system 308
00092400-c285-4f12-84b2-62e9ebcd2b6b,137,Task Management 248,Development of a task management system 248
00094d72-eb30-4f28-8efe-419e7a3efb2f,7348,Task Management 33,Development of a task management system 33
00099881-3b86-4a77-9985-8df4d9a46c8f,11064,Task Management 103,Development of a task management system 103
